Location,Council,Postcode or identifying number (if given),Date figures start from,Date of reply/figures correct to,Days covered,Total PCNs,PCNs 2015-16,Gross income since switched on,Gross income per day,PCNs per day,Gross income 2015-16,Amount charged,Discount for early pay,Any further penalty?,Notes
Market Street (jn of Westgate),Kirklees,HD1 2ET,21/03/2016,14/11/2016,238,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
Market Street,Kirklees,HD1 2ET,21/03/2016,14/11/2016,238,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
St George's Square,Kirklees,HD1 1JF,21/03/2016,14/11/2016,238,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
High Street,Kirklees,HD1 2LE,21/03/2016,14/11/2016,238,,,,,0.0,"£4,220.57",£60.00,£30.00,"Discount if paid in 14 days, rises to £90 after 28 days and £98 upon debt registration",
Charles Street North,Leicester,LE1 1FB,01/07/2012,30/9/2016,1552,57557,6205,,,37.1,#REF!,£60.00,£30.00,"Discount if paid in 14 days, rises to £90 and £98 upon debt registration",
Causeway Lane,Leicester,LE1 4SX,01/07/2012,30/9/2016,1552,27419,3062,,,17.7,,£60.00,£30.00,"Discount if paid in 14 days, rises to £90 and £98 upon debt registration",
Rutland Street,Leicester,LE1 1RB,01/04/2016,30/9/2016,182,1882,0,,,10.3,£0.00,£60.00,£30.00,"Discount if paid in 14 days, rises to £90 and £98 upon debt registration",
Charles Street South,Leicester,LE1 3JA,01/04/2016,30/9/2016,182,1620,0,,,8.9,£0.00,£60.00,£30.00,"Discount if paid in 14 days, rises to £90 and £98 upon debt registration",
Lewisham High Street between the junctions of Albion Way and Limes Grove – SE13,Lewisham,,04/04/2005,09/01/2017,4298,,10226,,,0.0,"£628,351.67",,,,
Upper Green East,Merton,,2004,09/01/2017,,"14,466","2,552","£962,172.81",,,"£181,926.25",130,65,,
London Road opp Langdale Avenue,Merton,,01/10/2011,09/01/2017,1927,"12,184","1,708","£816,801.83",,6.3,"£121,582.63",130,65,,
The Broadway/ Queens Road,Merton,,2004,09/01/2017,,"8,500",648,"£605,150.26",,,"£47,073.00",130,65,,
London Road Victoria Road - Finborough Road,Merton,,2004,09/01/2017,,"1,768",630,"£123,443.28",,,"£46,258.11",130,65,,
Hartfield Road,Merton,,2004,09/01/2017,,"4,220",605,"£294,149.55",,,"£45,534.28",130,65,,
London Road along Figges Marsh,Merton,,2004,09/01/2017,,"3,295",604,"£205,968.53",,,"£39,865.32",130,65,,
Worple Road,Merton,,2004,09/01/2017,,"1,389",425,"£96,316.60",,,"£29,874.00",130,65,,
London Road opp Bond Road,Merton,,2004,09/01/2017,,"3,316",375,"£214,924.04",,,"£25,540.14",130,65,,
Wimbledon Hill Road,Merton,,2004,09/01/2017,,"3,572",305,"£244,722.60",,,"£21,770.00",130,65,,
London Road o/s Eagle House,Merton,,2004,09/01/2017,,442,48,"£28,142.08",,,"£4,236.85",130,65,,
Hartfield Road/Hartfield Crescent,Merton,,2004,09/01/2017,,"1,459",16,"£96,447.00",,,"£1,769.00",130,65,,
Great Eastern Road/Meridian Sq E15,Newham,4010,01/10/2009,30/11/2016,2617,"6,140",6131,,,,,130,65,,
Barking Road/Jnc St Olaves Rd E6,Newham,177,01/10/2009,30/11/2016,2617,"5,216",,,,,,130,65,,
Romford Road/Jnc Carlton Rd,Newham,2158,01/10/2009,30/11/2016,2617,"4,518",,,,,,130,65,,
Barking Road/Jnc Morgan St E16,Newham,3025,01/10/2009,30/11/2016,2617,"3,112",1799,,,,,130,65,,
Romford Road/Jnc Little Ilford Lane,Newham,127,01/10/2009,30/11/2016,2617,"2,804",,,,,,130,65,,
Barking Road/Jnc St Martins Ave,Newham,2306,01/10/2009,30/11/2016,2617,"2,567",,,,,,130,65,,
Barking Road/Jnc Augers Lane,Newham,2303,01/10/2009,30/11/2016,2617,"1,558",,,,,,130,65,,
Barking Road/Jnc Keppel Rd E6,Newham,7002,01/10/2009,30/11/2016,2617,"1,476",,,,,,130,65,,
Barking Road/Jnc Keppel Rd,Newham,2,01/10/2009,30/11/2016,2617,"1,275",,,,,,130,65,,
Romford Road/Jnc Katherine Rd,Newham,2157,01/10/2009,30/11/2016,2617,"1,269",,,,,,130,65,,
Romford Road/Jnc Sprowston Rd E7,Newham,4035,01/10/2009,30/11/2016,2617,"1,211",892,,,,,130,65,,
Romford Road/Jnc First Ave,Newham,125,01/10/2009,30/11/2016,2617,798,,,,,,130,65,,
Barking Road/Jnc King St,Newham,2300,01/10/2009,30/11/2016,2617,757,,,,,,130,65,,
Barking Road/Jnc St Olaves Rd,Newham,7177,01/10/2009,30/11/2016,2617,695,198,,,,,130,65,,
Barking Road/Jnc Chargeable lane,Newham,2301,01/10/2009,30/11/2016,2617,647,,,,,,130,65,,
Barking Road/Jnc Claughton Rd,Newham,2304,01/10/2009,30/11/2016,2617,519,,,,,,130,65,,
Barking Road/Jnc Morgan St E16,Newham,10001,01/10/2009,30/11/2016,2617,413,,,,,,130,65,,
Romford Road/Jnc Sprowston Rd,Newham,2154,01/10/2009,30/11/2016,2617,409,,,,,,130,65,,
Romford Road/Jnc Ratcliffe Rd,Newham,2156,01/10/2009,30/11/2016,2617,375,,,,,,130,65,,
Romford Road/Jnc Herbert Rd,Newham,124,01/10/2009,30/11/2016,2617,279,,,,,,130,65,,
Romford Road/Jnc Colchester Ave E12,Newham,7127,01/10/2009,30/11/2016,2617,238,74,,,,,130,65,,
Romford Road/Jnc Norwich Rd,Newham,2153,01/10/2009,30/11/2016,2617,166,,,,,,130,65,,
High Street E15/Jnc Bridge Rd,Newham,408,01/10/2009,30/11/2016,2617,159,,,,,,130,65,,
Barking Road/Jnc St Bernards Rd,Newham,2305,01/10/2009,30/11/2016,2617,140,,,,,,130,65,,
Barking Road/Jnc Adine rd,Newham,2302,01/10/2009,30/11/2016,2617,134,,,,,,130,65,,
Barking Road/Jnc Hartley Ave,Newham,2307,01/10/2009,30/11/2016,2617,120,,,,,,130,65,,
Great Eastern Road/Jnc Angel Lane E15,Newham,4015,01/10/2009,30/11/2016,2617,109,109,,,,,130,65,,
Romford Road/Jnc Oregon Ave,Newham,126,01/10/2009,30/11/2016,2617,89,,,,,,130,65,,
Romford Road/Jnc First Ave E12,Newham,7125,01/10/2009,30/11/2016,2617,56,27,,,,,130,65,,
High Street E15/Jnc Chant St,Newham,407,01/10/2009,30/11/2016,2617,50,,,,,,130,65,,
Great Eastern Road/Jnc Station Rd E15,Newham,4009,01/10/2009,30/11/2016,2617,47,35,,,,,130,65,,
Romford Road/Jnc Tavistock Rd,Newham,2152,01/10/2009,30/11/2016,2617,46,,,,,,130,65,,
Romford Road/Jnc Upton Lane,Newham,2155,01/10/2009,30/11/2016,2617,45,,,,,,130,65,,
High Street North,Newham,7009,01/10/2009,30/11/2016,2617,40,12,,,,,130,65,,
Barking Road/Jnc Wellington Rd,Newham,2308,01/10/2009,30/11/2016,2617,33,,,,,,130,65,,
Romford Road/Jnc Dersingham Ave,Newham,128,01/10/2009,30/11/2016,2617,31,,,,,,130,65,,
Barking Road,Newham,2309,01/10/2009,30/11/2016,2617,28,,,,,,130,65,,
Barking Road/Jnc Burges Rd,Newham,176,01/10/2009,30/11/2016,2617,24,,,,,,130,65,,
Great Eastern Road/Jnc Service Route 2,Newham,414,01/10/2009,30/11/2016,2617,18,,,,,,130,65,,
Barking Road/Adj Rathbone Market E16,Newham,22,01/10/2009,30/11/2016,2617,17,,,,,,130,65,,
Great Eastern Road E15 /Adj Multi Storey Car Park,Newham,411,01/10/2009,30/11/2016,2617,17,,,,,,130,65,,
Barking Road/Dickens Rd E6,Newham,175,01/10/2009,30/11/2016,2617,16,,,,,,130,65,,
Great Eastern Road/Opp Burger King,Newham,413,01/10/2009,30/11/2016,2617,16,,,,,,130,65,,
Keppel Road E6,Newham,7002,01/10/2009,30/11/2016,2617,16,70,,,,,130,65,,
Romford Road/Jnc Tennyson Rd,Newham,2151,01/10/2009,30/11/2016,2617,14,,,,,,130,65,,
Barking Road/Jnc Mary St,Newham,20,01/10/2009,30/11/2016,2617,13,,,,,,130,65,,
Gower Road,Newham,4072,01/10/2009,30/11/2016,2617,13,,,,,,130,65,,
Hospital Approach,Newham,1138,01/10/2009,30/11/2016,2617,12,,,,,,130,65,,
Meridian Sq E15,Newham,4011,01/10/2009,30/11/2016,2617,7,7,,,,,130,65,,
Romford Road,Newham,67,01/10/2009,30/11/2016,2617,7,,,,,,130,65,,
High Street North,Newham,7007,01/10/2009,30/11/2016,2617,7,6,,,,,130,65,,
High Street North,Newham,7008,01/10/2009,30/11/2016,2617,7,4,,,,,130,65,,
First Avenue,Newham,125,01/10/2009,30/11/2016,2617,6,,,,,,130,65,,
Theatre Square E15,Newham,4019,01/10/2009,30/11/2016,2617,5,5,,,,,130,65,,
West Ham Lane/Jnc Victoria St E15,Newham,4005,01/10/2009,30/11/2016,2617,4,4,,,,,130,65,,
Temple Mill Lane,Newham,4088,01/10/2009,30/11/2016,2617,4,,,,,,130,65,,
Barking Road/Jnc Beckton Rd,Newham,19,01/10/2009,30/11/2016,2617,3,,,,,,130,65,,
Barking Road/Jnc Ordnance Rd E16,Newham,21,01/10/2009,30/11/2016,2617,3,,,,,,130,65,,
West Ham Lane/jnc with Stratford Park E15,Newham,4032,01/10/2009,30/11/2016,2617,3,1,,,,,130,65,,
West Ham Lane/Jnc Victoria St E15,Newham,405,01/10/2009,30/11/2016,2617,3,,,,,,130,65,,
Freemasons Road E16,Newham,6161,01/10/2009,30/11/2016,2617,3,2,,,,,130,65,,
Romford Road/Jnc Herbert Rd E12,Newham,7124,01/10/2009,30/11/2016,2617,3,1,,,,,130,65,,
Barking Road/Jnc A13,Newham,23,01/10/2009,30/11/2016,2617,2,,,,,,130,65,,
Woodgrange Road/Jnc Osborne Rd,Newham,4064,01/10/2009,30/11/2016,2617,2,,,,,,130,65,,
Broadway/Jnc Salway Place e15,Newham,420,01/10/2009,30/11/2016,2617,2,,,,,,130,65,,
Romford Road/Jnc Upton Lane,Newham,61,01/10/2009,30/11/2016,2617,4,,,,,,130,65,,
High Street North,Newham,7006,01/10/2009,30/11/2016,2617,4,3,,,,,130,65,,
Park Avenue E6,Newham,7027,01/10/2009,30/11/2016,2617,2,1,,,,,130,65,,
Romford Rd /Jnc Little Ilford Lane E12,Newham,7127,01/10/2009,30/11/2016,2617,2,74,,,,,130,65,,
Sixth Avenue,Newham,126,01/10/2009,30/11/2016,2617,1,,,,,,130,65,,
Barking Rd/Adj rathbone Market,Newham,22,01/10/2009,30/11/2016,2617,1,,,,,,130,65,,
Broadway E15,Newham,402,01/10/2009,30/11/2016,2617,1,,,,,,130,65,,
Grove Crescent Road E15,Newham,4020,01/10/2009,30/11/2016,2617,1,4,,,,,130,65,,
Romford Road/Jnc Upton Lane/Jnc Woodgrange Rd E12,Newham,4061,01/10/2009,30/11/2016,2617,2,1,,,,,130,65,,
Upton Lane/Jnc Studley Rd,Newham,4072,01/10/2009,30/11/2016,2617,1,,,,,,130,65,,
Temple Mill Lane,Newham,4099,01/10/2009,30/11/2016,2617,1,1,,,,,130,65,,
Romford Road/Jnc Oregon Ave & Sixth Ave E12,Newham,7126,01/10/2009,30/11/2016,2617,1,,,,,,130,65,,
Barking Road/Jnc Burges Rd E6,Newham,7176,01/10/2009,30/11/2016,2617,1,1,,,,,130,65,,
Balliol Bus Link,North Tyneside,,13/02/2013,16/11/2016,1372,2109,487,,,1.5,,£60.00,£30.00,,
"Salter's Lane, Benton",North Tyneside,,26/09/2014,16/11/2016,782,4524,2178,,,5.8,,£60.00,£30.00,,
"High Flatworth, North Shields",North Tyneside,,18/05/2015,16/11/2016,548,5894,3052,,,10.8,,£60.00,£30.00,,
"Lynn Road, North Shields",North Tyneside,,13/10/2016,16/11/2016,34,751,751,,,22.1,,£60.00,£30.00,,
Albion Way,Norwich,NR1 1WX,21/11/2016,06/12/2016,15,,,,,0.0,,£60.00,£30.00,,If paid in 14 days
"High Street, Oxford",Oxfordshire,OX1 4BJ,26/02/2007,17/11/2016,3552,,,,,0.0,,£60.00,£30.00,,If paid in 14 days
"Castle Street, Oxford",Oxfordshire,OX1 1AY,26/02/2007,17/11/2016,3552,,,,,0.0,,£60.00,£30.00,,If paid in 14 days
"Magdalen Street, Oxford",Oxfordshire,OX1 3AA,26/02/2007,17/11/2016,3552,,,,,0.0,,£60.00,£30.00,,If paid in 14 days
"George Street, Oxford",Oxfordshire,OX1 2AF,26/02/2007,17/11/2016,3552,,,,,0.0,,£60.00,£30.00,,If paid in 14 days
A329 Kings Road (west to east),Reading,,,,,,"1,477",,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
A329 Wokingham Road,Reading,,,,,,"2,431",,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Access Road (northbound),Reading,,,,,,481,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Access Road (southbound),Reading,,,,,,"1,875",,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Basingstoke Road (northbound),Reading,,,,,,"1,047",,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Basingstoke Road (southbound),Reading,,,,,,"6,070",,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Bath Road,Reading,,,,,,911,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Blagrave Street (east to west),Reading,,,,,,5393,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Bridge Street,Reading,,,,,,0,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Friar Street (eastbound),Reading,,,,,,6613,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Friar Street (westbound),Reading,,,,,,8377,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Gun Street,Reading,,,,,,0,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Gweal Avenue (eastbound),Reading,,,,,,39,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Gweal Avenue (westbound),Reading,,,,,,29,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Hemdean Road,Reading,,,,,,4436,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
King's Road,Reading,,,,,,790,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Lindesfarne Way (westbound),Reading,,,,,,1008,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Lindesfarne Way (eastbound),Reading,,,,,,1124,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
London Street (northern section),Reading,,,,,,8865,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
London Street (south),Reading,,,,,,0,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Minster Street (westbound),Reading,,,,,,15246,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Norcot Road (eastbound),Reading,,,,,,946,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Oxford Road,Reading,,,,,,1953,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Southcote Lane,Reading,,,,,,3884,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
St Marys Butts (northbound),Reading,,,,,,7254,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Stanshawe Road,Reading,,,,,,3204,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
The Forbury,Reading,,,,,,288,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Trooper Potts Way (north to south),Reading,,,,,,545,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Trooper Potts Way (south to north),Reading,,,,,,221,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Vastern Road (east side southbound),Reading,,,,,,5794,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Vastern Road (northside 1),Reading,,,,,,590,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Vastern Road (northside 2),Reading,,,,,,2673,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Vastern Road (west side northbound),Reading,,,,,,1799,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
West Street,Reading,,,,,,0,,,,,£60.00,£30.00,Fine rises to £90 after 28 days,"Refused to give specific details because if motorists were aware which bus lanes were not being enforced, it would ""provide motorists with the confidence to contravene bus lane restrictions"""
Middlewood Road,Sheffield,,01/06/2007,28/11/2016,3468,56045,5825,,,16.2,"£208,946.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
Wicker,Sheffield,,01/01/2008,28/11/2016,3254,100506,5964,,,30.9,"£185,329.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
Langsett Road,Sheffield,,01/06/2007,28/11/2016,3468,29524,3965,,,8.5,"£151,834.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
Queens Road,Sheffield,,01/01/2011,28/11/2016,2158,12865,881,,,6.0,"£22,344.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
Bridge Street,Sheffield,,01/01/2008,28/11/2016,3254,8920,826,,,2.7,"£19,263.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
Holme Lane,Sheffield,,29/11/2011,28/11/2016,1826,3651,492,,,2.0,"£18,173.00",£60.00,£30.00,50% surcharge if not paid in 28 days,
Mountway Road,Somerset,TA1 5LR,24/09/2012,31/03/2016,1284,,,,,0.0,,£60.00,£30.00,,
Ilminster Road,Somerset,TA1 2UH,24/09/2012,31/03/2016,1284,,,,,0.0,,£60.00,£30.00,,
Champion Park,Southwark,,12/01/2007,12/01/2017,3653,,,,,,,130,65,,
Denmark Hill,Southwark,,12/01/2007,12/01/2017,3653,,,,,,,130,65,,
Denmark Hill Opp Orpheus Street,Southwark,,12/01/2007,12/01/2017,3653,,,,,,,130,65,,
Denmark Hill,Southwark,,12/01/2007,12/01/2017,3653,,,,,,,130,65,,
Dog Kennel Hill (Northbound) T,Southwark,,12/01/2007,12/01/2017,3653,,,,,,,130,65,,
Dog Kennel Hill (Southbound),Southwark,,12/01/2007,12/01/2017,3653,,,,,,,130,65,,
Heygate Street,Southwark,,12/01/2007,12/01/2017,3653,,,,,,,130,65,,
Lower Road,Southwark,,12/01/2007,12/01/2017,3653,,,,,,,130,65,,
Walworth Road,Southwark,,12/01/2007,12/01/2017,3653,,,,,,,130,65,,
Norton Road,Stockton,,01/10/2008,16/11/2016,2968,2507,200,,,0.8,,£60.00,£30.00,,
Stockton High Street,Stockton,,08/05/2012,16/11/2016,1653,2789,275,,,1.7,,£60.00,£30.00,,
Westbury Street,Stockton,,07/11/2011,16/11/2016,1836,394,66,,,0.2,,£60.00,£30.00,,
Mandale Road,Stockton,,07/11/2011,16/11/2016,1836,299,18,,,0.2,,£60.00,£30.00,,
High Road / St Georges Road E10,Waltham Forest,95,2012,23/12/2016,,1986,714,"£138,605.00",,,"£59,670.00",£130.00,£65.00,,
High Road / Grange Park Road E10,Waltham Forest,93,2012,23/12/2016,,2131,526,"£139,333.00",,,"£42,699.00",£130.00,£65.00,,
High Road / Murchison Road E10,Waltham Forest,92,2012,23/12/2016,,1201,354,"£82,955.00",,,"£30,063.00",£130.00,£65.00,,
Sidmouth Road / Coronation Gardens E10,Waltham Forest,91,2012,23/12/2016,,483,339,"£35,854.00",,,"£24,277.00",£130.00,£65.00,,
Lea Bridge Rd/Church Rd E17,Waltham Forest,26,2011,23/12/2016,,5100,184,"£295,380.00",,,"£17,428.00",£130.00,£65.00,,
Lea Bridge Rd/Hibbert Rd E17,Waltham Forest,65,2011,23/12/2016,,982,162,"£58,701.00",,,"£15,539.00",£130.00,£65.00,,
High Road / Leyton Lindley Rd Church Rd E10,Waltham Forest,94,2012,23/12/2016,,1041,197,"£66,803.00",,,"£15,156.00",£130.00,£65.00,,
Lea Bridge Rd/Vicarage Rd E17,Waltham Forest,63,2011,23/12/2016,,431,111,"£24,167.00",,,"£7,616.00",£130.00,£65.00,,
Lea Bridge Rd by B & Q E17,Waltham Forest,27,2011,23/12/2016,,104,20,"£7,095.00",,,"£2,004.00",£130.00,£65.00,,
Lea Bridge Rd/Shortlands Rd E17,Waltham Forest,62,2011,23/12/2016,,160,8,"£8,740.00",,,£731.00,£130.00,£65.00,,
Chingford Rd/Brookscroft Rd E17,Waltham Forest,49,2011,23/12/2016,,156,4,"£8,537.00",,,£333.00,£130.00,£65.00,,
Hoe St/Queens Rd E17,Waltham Forest,44,2011,23/12/2016,,249,0,"£14,949.00",,,£0.00,£130.00,£65.00,,
Lea Bridge Rd/Elm Pk Rd E17,Waltham Forest,67,2011,23/12/2016,,225,0,"£10,442.00",,,£0.00,£130.00,£65.00,,
Lea Bridge Rd/Rigg Approach E17,Waltham Forest,69,2011,23/12/2016,,6,0,£325.00,,,£0.00,£130.00,£65.00,,
